Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Account: Last Modified Date,First touchpoint Date,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In
UX,FT,2021,2021-11-01,BCN,2020-08-09,2020-11-18,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Advanced,Male,Master's Degree,Yes,Europa-Asia,20.0,2020-04-12,2020-05-10,642.94,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-06-10,2020-12-31,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,36.0,2020-02-11,2020-06-10,3.2,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-10-13,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,switchup,No experience,Male,Bachelor Degree,Yes,Spain,55.0,2020-08-12,2020-10-14,18.29,Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-10-10,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,other,No experience,Female,Bachelor Degree,Yes,Americas,47.0,2020-10-22,2020-10-22,280.64,Barcelona,No
UX,FT,2021,2021-11-01,BCN,2020-10-22,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,33.0,2020-05-11,2020-04-11,312.6,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-10-24,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Americas,41.0,2020-10-28,2020-10-26,63.97,Barcelona,Yes
WD,PT,2021,2021-09-02,BCN,2020-10-23,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,newspaperOrMagazine,Intermediate learner,Male,Bachelor Degree,Yes,Spain,39.0,2020-11-20,2020-10-26,68.9,Hospitalet,Yes
WD,FT,2021,2021-11-01,BCN,2020-10-25,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,other,Beginning learner,Female,Bachelor Degree,Yes,Spain,40.0,2020-10-29,2020-10-26,27.09,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-10-22,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,No Formal Schooling,Yes,Spain,46.0,2020-10-23,2020-11-30,940.11,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-10-24,2020-12-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,7.0,2020-01-12,2020-01-12,906.14,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-10-30,2020-12-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,36.0,2020-02-11,2020-02-11,67.43,Barcelona,Yes
UX,PT,2021,2021-11-05,BCN,2020-02-11,2020-12-31,Technical Interview,700.0,0.0,7500.0,6800.0,0,Not specified,google,Beginning learner,Female,Bachelor Degree,Yes,Spain,34.0,2020-04-11,2020-02-11,3.05,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-10-31,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,33.0,2020-05-11,2020-02-11,36.22,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-02-11,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,33.0,2020-11-28,2020-05-11,74.21,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-07-11,2020-11-22,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Americas,15.0,2020-04-12,2020-11-23,381.51,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-09-11,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,No experience,Male,Bachelor Degree,Yes,Spain,29.0,2020-09-11,2020-09-11,8.87,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-05-11,2020-11-18,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,20.0,2020-11-20,2020-05-11,1.92,Barcelona,Yes
UX,PT,2021,2021-09-02,BCN,2020-12-11,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,No,Spain,7.0,2020-01-12,2020-11-20,198.63,Barcelona,Yes
WD,PT,2021,2021-09-02,BCN,2020-10-11,2020-12-31,Student Agreement,750.0,0.0,7500.0,6750.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,1.0,2020-11-11,2020-01-12,507.03,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-11-16,2020-12-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,No experience,Male,Master's Degree,Yes,Europa-Asia,6.0,2020-02-12,2020-11-20,95.97,Barcelona,No
WD,FT,2021,2021-11-01,BCN,2020-11-19,2020-12-31,Student Agreement,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,Yes,Spain,19.0,2020-11-19,2020-11-25,143.5,Barcelona,Yes
UX,FT,2021,2021-03-22,BCN,2020-11-20,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,8.0,2020-11-30,2020-11-30,241.08,Madrid-Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-11-23,2020-12-31,Technical Interview,500.0,0.0,7000.0,6500.0,0,Not specified,google,Beginning learner,Male,Master's Degree,Yes,Spain,8.0,2020-11-30,2020-11-25,47.31,Barcelona,Yes
