Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
UX,FT,google,Female,214.0,18.23,1,1,25,0,0,26,54,0.0,4,2
WD,FT,Referral,Male,116.0,40.01,0,61,84,0,0,145,126,0.0,5,2
DA,FT,Referral,Male,223.0,28.64,0,1,68,0,0,69,106,0.0,4,2
DA,FT,Social Media,Female,215.0,21.11,0,1,74,0,0,75,112,0.0,4,2
UX,FT,Referral,Male,232.0,23.08,0,1,71,0,0,72,57,0.0,4,2
WD,FT,Referral,Female,228.0,11.49,0,0,71,0,1,71,108,0.09999999999999998,4,2
WD,FT,Referral,Male,231.0,2.62,0,0,70,0,0,70,107,0.0,4,2
DA,FT,other,Male,189.0,0.16,0,0,68,0,0,68,105,0.0,4,2
UX,FT,other,Female,222.0,68.64,0,3,69,0,0,72,57,0.0,4,2
WD,FT,google,Male,210.0,1.31,0,0,74,0,0,74,111,0.0,4,2
WD,FT,Social Media,Female,225.0,10.11,0,0,74,0,0,74,111,0.0,4,2
WD,PT,google,Female,230.0,13.4,0,1,74,0,0,75,-70,0.0,4,2
WD,FT,other,Male,210.0,12.92,0,1,71,0,0,72,109,0.0,4,2
DA,FT,Referral,Male,71.0,7.24,0,0,267,0,0,267,248,0.0,1,1
WD,FT,other,Male,147.0,24.76,1,30,9,0,0,39,78,0.0,6,2
WD,FT,newspaperOrMagazine,Male,131.0,405.71,0,46,69,0,0,115,96,0.0,6,2
WD,FT,other,Female,153.0,23.14,0,31,54,0,0,85,48,0.0,7,3
DA,FT,Referral,Male,126.0,0.19,0,0,54,0,0,54,17,0.0,8,3
WD,FT,Referral,Male,141.0,0.41,1,0,8,0,1,8,-14,0.040000000000000036,9,3
DA,FT,IronhackEvent,Female,138.0,19.16,0,31,23,0,0,54,35,0.0,8,3
DA,FT,Social Media,Male,140.0,14.74,0,31,23,0,0,54,17,0.0,8,3
UX,FT,Social Media,Female,74.0,96.27,1,4,9,0,0,13,-6,0.0,9,3
DA,FT,IronhackEvent,Female,78.0,93.63,0,4,9,0,1,13,-6,0.09999999999999998,9,3
DA,FT,IronhackEvent,Male,74.0,70.8,1,3,9,0,0,12,-7,0.0,9,3
UX,FT,other,Female,131.0,19.55,0,31,23,0,0,54,35,0.0,8,3
UX,FT,other,Male,78.0,63.22,0,3,9,0,0,12,-7,0.0,9,3
WD,FT,google,Female,132.0,18.55,0,31,23,0,1,54,17,0.09999999999999998,8,3
WD,FT,other,Male,78.0,71.69,0,3,9,0,0,12,-7,0.0,9,3
WD,FT,other,Male,68.0,0.11,0,0,23,0,0,23,4,0.0,9,3
WD,FT,google,Female,61.0,48.92,0,2,9,0,1,11,-8,0.09999999999999998,9,3
UX,FT,google,Female,56.0,22.59,0,1,7,0,0,8,-11,0.0,9,3
UX,FT,other,Female,90.0,0.57,0,0,267,0,0,267,248,0.0,1,1
UX,FT,other,Female,138.0,12.42,0,31,236,0,0,267,230,0.0,1,1
WD,FT,google,Female,158.0,38.14,0,60,207,0,0,267,230,0.0,1,1
UX,PT,Referral,Male,158.0,11.86,0,31,236,0,0,267,258,0.0,1,1
WD,FT,google,Non-binary,71.0,125.42,0,5,2,0,0,7,-12,0.0,9,3
DA,FT,google,Female,63.0,138.01,0,6,2,0,1,8,-11,0.09999999999999998,9,3
WD,FT,other,Female,134.0,15.85,0,29,207,0,0,236,217,0.0,2,1
UX,FT,Social Media,Female,145.0,20.21,0,31,115,0,0,146,109,0.0,5,2
UX,FT,google,Male,70.0,122.73,0,5,2,0,0,7,-12,0.0,9,3
UX,FT,Social Media,Female,145.0,15.89,0,31,115,0,0,146,109,0.0,5,2
WD,FT,other,Male,148.0,60.91,0,92,115,0,0,207,170,0.0,3,1
WD,FT,google,Male,62.0,39.6,0,1,9,0,0,10,-9,0.0,9,3
WD,FT,other,Female,153.0,63.12,0,92,54,0,0,146,109,0.0,5,2
DA,FT,Social Media,Female,145.0,28.59,0,31,115,0,0,146,109,0.0,5,2
WD,PT,Referral,Male,21.0,165.41,0,7,2,0,0,9,346,0.0,9,3
WD,FT,google,Male,145.0,0.25,0,0,207,0,0,207,170,0.0,3,1
UX,FT,Social Media,Female,76.0,27.92,0,1,7,0,0,8,-11,0.0,9,3
WD,FT,google,Male,151.0,1.44,0,0,236,0,0,236,217,0.0,2,1
DA,FT,Referral,Female,145.0,0.51,0,0,207,0,0,207,170,0.0,3,1
